m/z	intensity
815.509169	780.157
815.526142	844.863
815.543116	943.216
815.56009	1024.55
815.577064	1045.73
815.594038	1001.25
815.611012	874.353
815.627987	754.51
815.644962	642.118
815.661937	538.431
815.678912	460.157
815.695887	418.039
815.712862	394.667
815.729838	360.627
815.746814	330.118
815.76379	299.922
815.780766	258.431
815.797742	233.412
815.814719	226.667
815.831696	225.569
815.848672	221.098
815.865649	227.373
815.882627	220.392
815.899604	206.275
815.916582	181.725
815.933559	159.529
815.950537	151.137
815.967515	158.431
815.984494	160.784
816.001472	161.255
816.018451	162.431
816.03543	173.255
816.052409	171.451
816.069388	168.784
816.086367	173.412
816.103347	177.725
816.120326	169.333
816.137306	171.922
816.154286	175.765
816.171266	178.431
816.188247	189.882
816.205227	219.686
816.222208	245.49
816.239189	264.549
816.25617	288.314
816.273151	316.627
816.290133	347.216
816.307115	407.608
816.324096	482.745
816.341078	564.784
816.358061	651.529
816.375043	748.157
816.392025	804.784
816.409008	815.137
816.425991	814.431
816.442974	816.157
816.459957	811.529
816.476941	852.549
816.493924	932.706
816.510908	1002.43
816.527892	1104.78
816.544876	1235.69
816.56186	1318.98
816.578845	1316.94
816.595829	1234.75
816.612814	1089.41
816.629799	907.765
816.646784	742.667
816.66377	618.196
816.680755	535.373
816.697741	472.471
816.714727	438.902
816.731713	408.549
816.748699	374.588
816.765685	340.078
816.782672	325.804
816.799659	310.51
816.816646	281.333
816.833633	249.647
816.85062	230.431
816.867608	218.51
816.884595	214.588
816.901583	198.588
816.918571	188.784
816.935559	183.765
816.952548	197.255
816.969536	199.608
816.986525	188.157
817.003514	180.549
817.020503	184.941
817.037492	179.686
817.054481	172.157
817.071471	178.118
817.088461	179.137
817.105451	179.765
817.122441	187.294
817.139431	206.275
817.156421	224.314
817.173412	233.647
817.190403	257.176
817.207394	272.235
817.224385	280.235
817.241376	287.529
817.258368	321.882
817.27536	367.137
817.292352	422.588
817.309344	493.333
817.326336	586.118
817.343328	640.706
817.360321	667.608
817.377314	702.98
817.394307	757.882
817.4113	802.824
817.428293	821.49
817.445286	805.098
817.46228	805.098
817.479274	830.196
817.496268	886.353
817.513262	943.765
817.530256	1000
817.547251	1035.69
